id;evento_catedra_id;titulo;resumen;descripcion;fecha;direccion;imagen;fila_asientos;column_asientos;precio_entrada;evento_tipo_nombre;evento_tipo_descripcion
1;6833;degrease;shoddy scoop uh-huh;promise incidentally;2025-11-10T08:21:58;abaft healthily;um sweetly pupil;24738;11696;12008.71;but;premeditation on recompense
2;30113;regarding oof near;hmph;um vibration;2025-11-10T03:54:36;circular;zowie;11540;7026;32497.24;duh ick;barring wordy
3;12484;attend likewise;tomatillo;yarmulke;2025-11-10T17:52:37;uncover flint when;ack;24842;17685;9662.35;laughter squirm supplier;cricket
4;12374;toward exterior until;essence patiently;knowledgeably;2025-11-10T17:56:57;to though hmph;nor toaster towards;29493;10810;8065.47;scented presell;when inhibit who
5;26316;warm per;well-worn;blink sometimes;2025-11-09T23:31:56;meh separately ugh;gulp;20033;2712;14670.62;wordy;er or
6;4790;list phooey;minor without astride;unto yet an;2025-11-10T05:14:17;iterate unearth;uselessly;28990;20498;32313.69;consequently whoever defendant;for across gah
7;24222;into ack vanish;stealthily elevator yahoo;ouch sarcastic;2025-11-10T12:56:23;huzzah whoever;essay;12719;25770;31524.39;cruelly;yearningly
8;11395;phew pace;league;unexpectedly;2025-11-10T13:57:41;arcade;accidentally;14894;9321;24916.62;instantly;boastfully past
9;29802;hydrolyse instead;offend brand;which or crazy;2025-11-10T00:29:44;needily culture;retool shoulder absentmindedly;7677;4922;6666.78;outfox among by;against now yippee
10;2828;politely low upwardly;lest tepid taxicab;without reassuringly;2025-11-10T04:01:58;neatly limping successfully;colligate portly freight;18930;6611;22439.19;hence;gnash bah
