id;venta_catedra_id;fecha_venta;precio_venta;resultado;descripcion;cantidad_asientos
1;4457;2025-11-10T00:36:13;27548.49;true;fellow;25386
2;14743;2025-11-10T22:15:26;21057.04;true;beneficial;2254
3;3169;2025-11-10T17:53:36;3403.93;true;scarily;19423
4;9853;2025-11-10T03:26:41;10960.01;false;punctually apprehensive;8521
5;18163;2025-11-10T01:14:12;3222.88;false;pfft;9137
6;782;2025-11-10T00:40:42;8611.36;false;while;13125
7;26392;2025-11-10T05:05:25;30523.36;false;solidly;28152
8;11791;2025-11-10T02:59:47;23361.21;false;until beside now;30005
9;12181;2025-11-10T10:30:14;17232.54;false;funny gently duh;29591
10;24881;2025-11-10T11:07:42;20826.93;false;amazing aboard;12752
